timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_contaminated;n_patches_removed;n_test;seed;knn_k;percentile_threshold;img_auroc;pix_auroc;pix_aupr;n_masks_found;auroc_delta_vs_clean;recovery_rate;pix_auroc_delta_vs_clean;pix_recovery_rate;inference_time_s
2026-02-18T05:03:43.339197;mvtec_AD/carpet;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;117;3;5;95;0.9723;0.9956;0.7476;89;0.0000;;0.0000;;0.01
2026-02-18T05:03:55.598385;mvtec_AD/carpet;cont_30pct_none;0.3;none;10;10;3;0;117;3;5;95;0.8993;0.9966;0.8283;89;-0.0730;;0.0010;;3.26
2026-02-18T05:04:09.676051;mvtec_AD/carpet;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;117;3;5;95;0.9567;0.9959;0.7604;89;-0.0157;0.7857;0.0004;0.6577;4.96
2026-02-18T05:04:21.038754;mvtec_AD/carpet;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;117;3;5;95;0.9767;0.9956;0.7495;89;0.0044;1.0604;0.0000;0.9826;2.32
2026-02-18T05:04:33.607044;mvtec_AD/carpet;cont_0pct_none;0.0;none;10;10;0;0;117;4;5;95;0.9759;0.9955;0.7411;89;;;;;3.32
2026-02-18T05:04:47.720129;mvtec_AD/carpet;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;117;4;5;95;0.9799;0.9954;0.7362;89;0.0040;;-0.0001;;5.10
2026-02-18T05:04:56.748022;mvtec_AD/carpet;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;117;4;5;95;0.9759;0.9955;0.7411;89;0.0000;;0.0000;;0.01
2026-02-18T05:05:09.215008;mvtec_AD/carpet;cont_30pct_none;0.3;none;10;10;3;0;117;4;5;95;0.9366;0.9888;0.7630;89;-0.0393;;-0.0067;;3.41
2026-02-18T05:05:23.592089;mvtec_AD/carpet;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;117;4;5;95;0.9739;0.9956;0.7428;89;-0.0020;0.9490;0.0001;1.0197;5.41
2026-02-18T05:05:34.980555;mvtec_AD/carpet;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;117;4;5;95;0.9743;0.9955;0.7408;89;-0.0016;0.9592;-0.0000;0.9998;2.33
2026-02-18T05:05:44.574192;mvtec_AD/grid;cont_0pct_none;0.0;none;10;10;0;0;78;0;5;95;0.8997;0.9945;0.4728;57;;;;;2.33
2026-02-18T05:05:54.600177;mvtec_AD/grid;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;78;0;5;95;0.9148;0.9944;0.4690;57;0.0150;;-0.0001;;4.01
2026-02-18T05:06:00.628332;mvtec_AD/grid;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;78;0;5;95;0.8997;0.9945;0.4728;57;0.0000;;0.0000;;0.01
2026-02-18T05:06:08.875415;mvtec_AD/grid;cont_30pct_none;0.3;none;10;10;3;0;78;0;5;95;0.8262;0.9774;0.5033;57;-0.0735;;-0.0171;;2.12
2026-02-18T05:06:18.986780;mvtec_AD/grid;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;78;0;5;95;0.8772;0.9948;0.5008;57;-0.0226;0.6932;0.0003;1.0186;4.09
2026-02-18T05:06:26.514518;mvtec_AD/grid;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;78;0;5;95;0.8947;0.9945;0.4695;57;-0.0050;0.9318;-0.0000;0.9974;1.53
2026-02-18T05:06:34.778259;mvtec_AD/grid;cont_0pct_none;0.0;none;10;10;0;0;78;1;5;95;0.9181;0.9946;0.4815;57;;;;;2.20
2026-02-18T05:06:44.729500;mvtec_AD/grid;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;78;1;5;95;0.9340;0.9943;0.4650;57;0.0159;;-0.0003;;4.02
